name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Jd Andreessen,Jr,Monmouth,C,143,0.339,18.168,-1.995,0.733,0.329,0.404,0.228,0.176,0.262,0.196,0.084,0.028
Jaxon Hallmark,Fr,Nebraska,INF,221,0.339,28.077,-3.084,0.677,0.367,0.31,0.261,0.049,0.364,0.258,0.149,0.005
Ryan Hall,Sr,William & Mary,INF,244,0.339,30.999,-3.405,0.712,0.332,0.38,0.236,0.144,0.306,0.238,0.107,0.016
Nate Blakeney,So,Longwood,INF,233,0.339,29.602,-3.251,0.701,0.343,0.358,0.26,0.098,0.329,0.206,0.082,0.009
Vinnie Costello,So,Hofstra,OF,145,0.339,18.422,-2.023,0.711,0.331,0.38,0.215,0.165,0.379,0.414,0.124,0.028
Zack Costello,Jr,Mount St. Mary's,C,128,0.339,16.262,-1.786,0.673,0.367,0.306,0.245,0.061,0.329,0.195,0.148,0.0
Angelo Altavilla,Jr,Nebraska,INF,201,0.339,25.536,-2.805,0.7,0.348,0.352,0.228,0.124,0.241,0.134,0.149,0.025
Harry Hegeman,Fr,Yale,OF,122,0.338,15.386,-1.816,0.669,0.369,0.3,0.26,0.04,0.351,0.221,0.123,0.0
James Gargano,Fr,Butler,INF,157,0.338,19.8,-2.337,0.704,0.35,0.354,0.277,0.077,0.321,0.14,0.057,0.006
Dean Miller,Jr,UC Riverside,OF,197,0.338,24.845,-2.932,0.708,0.34,0.368,0.263,0.105,0.347,0.259,0.091,0.015
Jayden Eggimann,Sr,Valparaiso,INF,214,0.338,26.989,-3.185,0.683,0.355,0.328,0.25,0.078,0.352,0.266,0.117,0.009
Curtis Perrin,Sr,Seattle U,INF,237,0.338,29.89,-3.527,0.699,0.35,0.349,0.245,0.104,0.314,0.232,0.135,0.017
Bradley Dixon,Jr,Col. of Charleston,INF,189,0.338,23.836,-2.813,0.722,0.333,0.389,0.291,0.098,0.345,0.18,0.048,0.016
Tommy Bullock,Jr,Charlotte,INF,256,0.338,32.286,-3.81,0.705,0.344,0.361,0.259,0.102,0.287,0.117,0.098,0.008
Chase Slone,Jr,Wright St.,INF,232,0.338,29.259,-3.453,0.713,0.341,0.372,0.28,0.092,0.289,0.069,0.073,0.013
Dylan Vchulek,Sr,Hawaii,OF,163,0.338,20.557,-2.426,0.699,0.368,0.331,0.308,0.023,0.369,0.141,0.11,0.0
Austin Siener,Sr,UTRGV,INF,224,0.338,28.25,-3.334,0.72,0.339,0.381,0.259,0.122,0.307,0.205,0.098,0.022
Justin Cook,So,Richmond,INF,152,0.338,19.17,-2.262,0.719,0.349,0.37,0.311,0.059,0.363,0.151,0.066,0.007
Gregory Vaughn Jr.,Jr,LIU,OF,245,0.338,30.898,-3.647,0.689,0.351,0.338,0.239,0.099,0.288,0.176,0.135,0.012
Mitchell Berryhill,Jr,Cal St. Fullerton,OF,257,0.338,32.412,-3.825,0.72,0.358,0.362,0.295,0.067,0.353,0.132,0.089,0.0
Michael Ludowig,Fr,Wake Forest,INF,182,0.338,22.953,-2.709,0.692,0.357,0.335,0.267,0.068,0.362,0.247,0.11,0.005
Andriud Martinez,Jr,A&M-Corpus Christi,INF,194,0.337,24.286,-3.068,0.705,0.345,0.36,0.291,0.069,0.329,0.134,0.067,0.01
Evan Kennedy,Sr,Purdue,C,134,0.337,16.775,-2.119,0.707,0.343,0.364,0.254,0.11,0.309,0.179,0.082,0.007
Brandon Seltzer,So,Fairleigh Dickinson,OF,188,0.337,23.535,-2.973,0.72,0.319,0.401,0.228,0.173,0.308,0.277,0.106,0.021
Luke Marbach,So,A&M-Corpus Christi,INF,138,0.337,17.276,-2.182,0.667,0.355,0.312,0.223,0.089,0.264,0.159,0.145,0.007
Luke Tevlin,Sr,Binghamton,INF,112,0.337,14.021,-1.771,0.715,0.339,0.376,0.297,0.079,0.33,0.107,0.045,0.0
Eric Gonzalez,Jr,FGCU,INF,162,0.337,20.28,-2.562,0.728,0.327,0.401,0.248,0.153,0.29,0.204,0.105,0.031
Daniel Perry,So,Nevada,INF,173,0.337,21.657,-2.736,0.708,0.341,0.367,0.245,0.122,0.299,0.191,0.104,0.012
Elijah Simon,So,Houston Baptist,INF,178,0.337,22.283,-2.815,0.725,0.331,0.394,0.265,0.129,0.366,0.281,0.084,0.022
Taylor Lane,Sr,Arizona St.,OF,106,0.337,13.27,-1.676,0.71,0.34,0.37,0.3,0.07,0.397,0.245,0.057,0.009
Adam Genners,Sr,Manhattan,OF,135,0.337,16.9,-2.135,0.708,0.348,0.36,0.281,0.079,0.36,0.207,0.089,0.007
Jacob Olson,Jr,South Carolina,OF,257,0.337,32.173,-4.064,0.76,0.288,0.472,0.234,0.238,0.246,0.191,0.054,0.047
Chris Clayton,Jr,Louisiana Tech,C,197,0.337,24.662,-3.115,0.711,0.345,0.366,0.25,0.116,0.292,0.162,0.096,0.015
Kevin Riley,Sr,CSUN,INF,230,0.337,28.793,-3.637,0.754,0.3,0.454,0.273,0.181,0.325,0.239,0.017,0.035
Ben Dickey,Jr,Northwestern,OF,209,0.337,26.164,-3.305,0.652,0.378,0.274,0.22,0.054,0.273,0.172,0.139,0.005
